adm0_name,iso3,X,Y,published,source,airline,info,optional1,optional2,optional3,ObjectId
Switzerland,CHE,8.223234,46.9685,03.04.2020,https://www.routesonline.com/news/38/airlineroute/290621/swiss-extends-interim-long-haul-adjustment-to-early-may-2020/,.Swiss,Swiss extends interim long-haul adjustment to early-May 2020,,,,631
Switzerland,CHE,8.223234,46.9685,15.05.2020,https://www.routesonline.com/news/38/airlineroute/291296/swiss-ns20-inter-continental-operations-as-of-14may20/,.Swiss,Swiss Inter-continental operations as of 14MAY20,,,,632
Switzerland,CHE,8.223234,46.9685,15.05.2020,"https://www.thelocal.ch/20200515/swiss-airline-will-resume-some-of-its-flights-in-june",.Swiss,Swiss airline to resume some flights in June,,,,633
Switzerland,CHE,8.223234,46.9685,23.04.2020,https://www.routesonline.com/news/38/airlineroute/290923/chair-airlines-files-zurich-djerba-service-in-s20/,.Chair Airlines,Chair Airlines files Zurich – Djerba service in S20 (eff. 22MAY20 to 28AUG20),,,,634
Syrian Arab Republic,SYR,38.498069,35.017584,,,,,,,,635
Tadjikistan,TJK,69.294998,38.430697,,,,,,,,636
Taiwan,TWN,120.969668,23.750541,07.05.2020,https://www.routesonline.com/news/38/airlineroute/291172/eva-air-may-2020-operations-as-of-1030gmt-07may20/,.EVA Air,EVA Air May 2020 operations as of  07MAY20,,,,637
Taiwan,TWN,120.969668,23.750541,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290962/eva-air-closes-july-2020-jan-2021-milan-reservations/,EVA Air,EVA Air closes July 2020 - Jan 2021 Milan reservations,,,,638
Taiwan,TWN,120.969668,23.750541,13.05.2020,https://www.routesonline.com/news/38/airlineroute/291264/eva-air-june-2020-north-east-asia-operations-as-of-1600gmt-13may20/,.EVA Air,EVA Air June 2020 North East Asia operations as of 1600GMT 13MAY20,,,,639
Taiwan,TWN,120.969668,23.750541,02.04.2020,https://www.routesonline.com/news/38/airlineroute/290595/china-airlines-april-2020-long-haul-operations-as-of-0600gmt-02apr20/,.China Airlines,China Airlines April 2020 Long-Haul operations ,,,,640
Taiwan,TWN,120.969668,23.750541,13.05.2020,https://www.routesonline.com/news/38/airlineroute/291256/tigerair-taiwan-june-2020-operations-as-of-12may20/,.tigerair Taiwan,tigerair Taiwan June 2020 operations as of 12MAY20,,,,641
Thailand,THA,101.020295,15.130893,21.04.2020,https://www.routesonline.com/news/38/airlineroute/290882/nok-air-aprilmay-2020-operations-as-of-19apr20/,.Nok Air,Nok Air April/May 2020 operations as of 19APR20,,,,642
Thailand,THA,101.020295,15.130893,21.04.2020,https://www.routesonline.com/news/38/airlineroute/290880/thai-airasia-may-2020-preliminary-operations-as-of-19apr20/,.Thai AirAsia,Thai AirAsia May 2020 Preliminary operations as of 19APR20,,,,643
Thailand,THA,101.020295,15.130893,05.05.2020,https://www.routesonline.com/news/38/airlineroute/291106/thai-lion-air-s20-planned-operation-as-of-03may20/,.Thai Lion Air,Thai Lion Air planned DOMESTIC operation as of 03MAY20 (eff JUN20),,,,644
Thailand,THA,101.020295,15.130893,01.06.2020,https://www.routesonline.com/news/38/airlineroute/291535/thai-lion-air-s20-international-operations-as-of-29may20/,.Thai Lion Air,"Thai Lion Air International operations as of 29MAY20, eff. 01JUL20",,,,645
Thailand,THA,101.020295,15.130893,06.05.2020,https://www.routesonline.com/news/38/airlineroute/291127/bangkok-airways-s20-operations-as-of-03may20/,.Bangkok Airways,Bangkok Airways operations as of 03MAY20 eff. 01JUN20,,,,646
Thailand,THA,101.020295,15.130893,15.05.2020,"https://www.eturbonews.com/572333/bangkok-airways-resumes-more-domestic-flights/",.Bangkok Airways,Bangkok Airways to resume more domestic flights from 1 June,,,,647
Thailand,THA,101.020295,15.130893,29.05.2020,https://www.routesonline.com/news/38/airlineroute/291188/thai-airways-international-july-october-2020-operations-as-of-1030gmt-08may20/,.Thai Airways International,"Thai Airways Intternational Europe services 16JUL-31JUL,as of 29MAY20",,,,648
Thailand,THA,101.020295,15.130893,19.05.2020,https://www.pattayamail.com/coronavirus/thai-suspends-all-flights-until-30-june-300599,Thai Airways International ,THAI suspends all flights until 30 June,,,,649
Thailand,THA,101.020295,15.130893,05.05.2020,https://www.routesonline.com/news/38/airlineroute/291105/thai-smile-s20-planned-operation-as-of-03may20/,.Thai Smile,Thai Smile planned DOMESTIC operations as of 03MAY20 (eff 01JUN20),,,,650
Thailand,THA,101.020295,15.130893,27.04.2020,https://www.routesonline.com/news/38/airlineroute/290970/thai-vietjet-air-plans-hefei-service-from-mid-june-2020/,Thai VietJet,Thai VietJet Air plans Hefei service from mid-June 2020,,,,651
Timor-Leste,TLS,125.945119,-8.797487,,,,,,,,652
Togo,TGO,0.978236,8.532744,,,,,,,,653
Tokelau,TKL,-172.47418,-8.554768,,,,,,,,654
Tonga,TON,-175.27529,-21.159087,,,,,,,,655
Trinidad and Tobago,TTO,-61.296613,10.423121,,,,,,,,656
Tromelin Island,xFR,54.524013,-15.891713,,,,,,,,657
Tunisia,TUN,9.560349,33.774827,11.04.2020,https://www.routesonline.com/news/38/airlineroute/290751/nouvelair-tunisie-revises-planned-new-service-in-s20/,.Nouvelair Tunisie,"Nouvelair Tunisie revises planned new service in S20
",,,,658
